STT,Ten Group,Link post,Caption,Post Reaction,Reaction Group 1 Like Love Care Haha Wow,Reaction Group 2 Sad,Reaction Group 3 Angry,Comment,Sub-loai,Sentiment,Tich cuc,Trung lap,Tieu cuc,Spam,Binh luan mention tieu cuc den Prudential,Ty le Tieu cuc/Tich cuc + Trung lap,De xuat seeding,Tru cot Manual
31,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745910676616256/,𝐐𝐮𝐚̀ 𝐦𝐮̛̀𝐧𝐠 𝟐/𝟗 𝐜𝐮̉𝐚 𝐆𝐞𝐧𝐞𝐫𝐚𝐥𝐢 𝐕𝐢𝐞̣̂𝐭 𝐍𝐚𝐦. 𝐂𝐚́𝐜 𝐦𝐞̣ 𝐪𝐮𝐚𝐧 𝐭𝐚̂𝐦 𝐭𝐡𝐞̉ 𝐆𝐞𝐧 𝐭𝐢𝐞̂𝐮 𝐜𝐡𝐮𝐚̂̉𝐧 𝐨̛𝐢 𝐛𝐨̛𝐢 𝐡𝐞̂́𝐭 𝐯𝐚̀𝐨 đ𝐚̂𝐲 𝐧𝐡𝐚!! -#gda22,1,1,0,0,2,chuong trinh moi,Trung lap,0,2,0,0,0,0/2 (0.0%),Normal,
32,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745951766612147/,"Em đang tìm hiểu mua thẻ BHSK cho bé 1 tháng tuổi. Quyền lợi ngoại trú và nội trú tốt ở Hồng Ngọc PTM và Nhi TW, claim nhanh gọn. Thẻ của bên nào phù hợp anh/ chị tư vấn giúp em ạ",11,11,0,0,22,bao hiem suc khoe,Spam,1,1,0,17,0,0/2 (0.0%),Normal,
33,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745979723276018/,"Mình muốn mua bảo hiểm thai sản cho vợ, bên nào ok thì giới thiệu mình vs ạ mình cảm ơn, mình đang thích bên bảo việt nhưng mà có bác nào tư vấn làm bên đó tư vấn giúp e vs ạ, e cảm ơn",8,8,0,0,20,bao hiem thai san,Spam,1,5,1,12,0,1/7 (14.3%),Normal,
34,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746052006602123/,"25: BỆNH HIỂM NGHÈO – THẺ SỨC KHỎE TRẢ TIỀN ĐIỀU TRỊ HAY TRẢ MỘT KHOẢN RIÊNG? 👉 Hai quyền lợi này khác nhau nhé! 🏥 Thẻ sức khỏe Generali: Hỗ trợ chi phí y tế thực tế khi khám, điều trị trong phạm vi quyền lợi và hạn mức của chương trình tham gia. 💰 Quyền lợi Bệnh hiểm nghèo: Là quyền lợi riêng, có thể chi trả một khoản tiền khi người được bảo hiểm mắc bệnh hiểm nghèo thuộc phạm vi và đáp ứng điều kiện theo hợp đồng. ❤️ Hiểu đơn giản: Thẻ sức khỏe → hỗ trợ chi phí điều trị. Bệnh hiểm nghèo → hỗ trợ tài chính riêng. Vì vậy, nếu muốn vừa có nguồn hỗ trợ chi phí y tế, vừa có một khoản tài chính khi mắc bệnh hiểm nghèo, cần xem xét các quyền lợi đã tham gia trong hợp đồng. 📌 Quyền lợi thực tế luôn căn cứ Quy tắc & Điều khoản và Hợp đồng bảo hiểm của từng khách hàng. MDRT Lưu Đường Quỳnh – Quỳnh Lucky 📞 0902.148.126 #CC01 #quynhluckybaohiem #GeneraliVietnam Quy tắc & Điều khoản Bảo hiểm Sức khỏe Cá nhân 2025 của Generali",2,2,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
35,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746093093264681/,Cần tìm tvv chuyên bán thẻ MIC care để tư vấn mua thẻ và sau này có thể hỗ trợ mình claim ạ. Có nhân viên chính thức của cty ko ạ? Mình tìm ko thấy,5,5,0,0,12,spam,Spam,1,2,0,6,0,0/3 (0.0%),Normal,
36,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746123433261647/,"Nhờ cả nhà tư vấn giúp mình. Mình không mua BHTS vì thả đã lâu mà không đậu. Giờ trộm vía đã có bé, thì mình có thể mua loại BH nào cho bé và mẹ không ạ?",7,7,0,0,12,bao hiem suc khoe,Spam,1,2,0,8,0,0/3 (0.0%),Normal,
37,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746187633255227/,"Bảo hiểm sức khỏe cho bé 2 tuổi nào thì tốt về giá và quyền lợi ạ Mong a/c share cho e, please not seeding 🫶",10,10,0,0,17,spam,Spam,0,0,0,17,0,0/0 (0%),Normal,
38,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746429153231075/,Mình muốn mua thẻ bh rời cho bạn nhỏ 3 tháng tuổi. Mn tư vấn giúp mình nên mua của bên nào mà thủ tục giải quyết nhanh gọn với ạ. Mình cảm ơn!,5,5,0,0,12,san pham va giai phap,Spam,1,2,1,8,0,1/4 (25.0%),Normal,
39,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746464073227583/,e ở ngoài miền bắc mà muốn mua bh nhưng chưa biết mua của Man hay Gen mn dùng của bên nào cho e lời khuyên với ạ ☹️,12,12,0,0,23,so sanh bao hiem,Spam,5,6,1,9,0,1/12 (8.3%),Normal,
40,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746521336555190/,"🌱 ĐỪNG HIỂU NHẦM: BẢO HIỂM PHẢI LÀ MỘT HỢP ĐỒNG THẬT LỚN Có một điều tôi muốn chia sẻ thật lòng với anh chị: Khi nhắc đến bảo hiểm nhân thọ, nhiều người thường nghĩ: “Bảo hiểm chắc phải đóng vài chục triệu mỗi năm.” “Thu nhập của tôi chưa cao thì chắc chưa cần mua.” “Đã mua bảo hiểm thì phải mua một hợp đồng thật lớn mới có ý nghĩa.” Nhưng thực tế không hẳn như vậy. ❤️ Bảo hiểm không phải là cuộc thi xem ai có hợp đồng lớn hơn. Điều quan trọng nhất là: 👉 Mình đang cần được bảo vệ điều gì? 👉 Mức ngân sách nào phù hợp với gia đình mình? 👉 Giải pháp nào thực sự cần thiết ở thời điểm hiện tại? Có người cần một kế hoạch bảo vệ dài hạn cho gia đình. Nhưng cũng có người ở thời điểm này chỉ cần một thẻ chăm sóc sức khỏe phù hợp với nhu cầu và ngân sách. Và như vậy cũng đã rất đáng quý. Một tấm thẻ chăm sóc sức khỏe có thể giúp chúng ta chủ động hơn khi cần khám chữa bệnh, giảm bớt áp lực tài chính trong những tình huống không mong muốn và quan trọng hơn là tạo cho mình một sự chuẩn bị. 🌿 Không phải cứ nhiều tiền mới cần bảo hiểm. 🌿 Không phải cứ hợp đồng lớn mới là bảo vệ tốt. 🌿 Quan trọng là giải pháp đó có phù hợp với bạn hay không. Nếu hôm nay ngân sách của anh chị chưa lớn, chúng ta có thể bắt đầu từ một giải pháp nhỏ. Khi điều kiện tài chính tốt hơn, nhu cầu thay đổi, chúng ta có thể tiếp tục điều chỉnh và bổ sung. Giống như việc xây một ngôi nhà… Không nhất thiết phải xây tất cả trong một ngày. Quan trọng là hôm nay mình bắt đầu đặt viên gạch đầu tiên. 🧱❤️ Vì vậy, nếu anh chị từng nghĩ: “Bảo hiểm không dành cho tôi vì tôi chưa có nhiều tiền.” Thì có lẽ anh chị hãy thử nghĩ lại. Có thể anh chị không cần một hợp đồng thật lớn ngay hôm nay. Có thể anh chị chỉ cần một giải pháp đúng với nhu cầu, đúng với khả năng tài chính và đúng với giai đoạn cuộc sống hiện tại. Nếu anh chị muốn, tôi sẵn sàng cùng anh chị xem xét nhu cầu và ngân sách trước, không nhất thiết phải bắt đầu bằng một hợp đồng lớn. Bởi với tôi: Trao giá trị không phải là bán cho khách hàng thứ đắt nhất. Mà là giúp khách hàng tìm được thứ phù hợp nhất. ❤️ 🌱 Bảo vệ từ những điều nhỏ. 🌱 Chủ động cho những điều lớn. 🌱 Và bắt đầu từ khả năng của chính mình. Ib cho tôi nếu bạn cần được hiểu thêm về bảo hiểm nhân thọ 🤗🌻🧚‍♀️❤️",3,3,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
41,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746529996554324/,"🛑 DN bảo hiểm phá sản, hợp đồng của khách hàng được bảo đảm như thế nào?🤔 #CôngBảoHiểm #TVTH322",4,4,0,0,2,pha san cong ty bao hiem,Trung lap,0,1,0,1,0,0/1 (0.0%),Normal,
42,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746531549887502/,🍀🍀Từ chối bồi thường vì chưa đủ 30 ngày chờ: Người mua bảo hiểm cần lưu ý gì?🍀🍀 #CôngBảoHiểm #TVTH322,3,3,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
43,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746575946549729/,"E chào anh chị E cần tư vấn chút E sn 96, mẹ e sn 69, mẹ e vừa mổ dây chằng chéo trước, đang thời gian tập phục hồi. E đang phân vân nên mua BHSK của MIC cho 2 mẹ con, hay mua BHNT cho e rồi đính kèm cho thẻ SK cho mẹ e Tài chính của e tầm 10tr-15tr/năm. Có thể cố hơn 1 chút E cảm ơn anh chị!",9,9,0,0,9,bao hiem nhan tho,Spam,0,2,0,8,0,0/2 (0.0%),Normal,
44,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746584549882202/,Mẹ có thẻ nhân thọ và con có thẻ sức khoẻ đi kèm của Daiichi thì Mẹ có thể mua thêm hãng nào ko ạ (e quan tâm luôn vấn đề bhts và ngoại trú cho Mẹ vì thẻ nhân thọ Daiichi chỉ giải quyết nội trú cho Mẹ thôi),8,8,0,0,12,quyen loi bao hiem,Spam,0,5,0,7,0,0/5 (0.0%),Normal,
45,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746631226544201/,"E đang quan tâm đến bhsk. Các anh chị cho e xin ít rv với ạ Nhà e 5 người gồm : Chồng 35 tuổi, vợ 33 tuổi. Con 3 đứa 16 tuổi - 15 tuổi - 8 tuổi. Nên mua bảo hiểm gì là hợp lý",16,16,0,0,25,spam,Spam,4,4,0,17,0,0/8 (0.0%),Normal,
46,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746700209870636/,"Nên mua thẻ bảo hiểm loại nào??? Em đã có thẻ bảo hiểm nhân thọ của PVI, Daiichi và Manulife rồi. Em mới sinh bé được 1 tháng, giờ muốn mua bảo hiểm cho con để được bảo vệ khi bị ốm phải đi viện. Vậy em nên mua thẻ loại nào? Và nên mua của hãng nào để được tối ưu nhất ạ? Em cảm ơn!",13,13,0,0,17,tu van,Spam,0,7,0,10,0,0/7 (0.0%),Normal,
47,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746718619868795/,"Năm ngoái em nhờ mẹ đứng tên bên mua bảo hiểm (hãng AIA), người được BH là em. Năm nay em đổi lại người đứng tên mua là em được không ạ?",12,12,0,0,18,doi ben mua bao hiem,Trung lap,1,14,0,3,0,0/15 (0.0%),Normal,
48,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746881909852466/,Bên mình có ai bán bảo hiểm nhà ở và cửa hàng không,1,1,0,0,5,spam,Spam,0,0,0,5,0,0/0 (0%),Normal,
49,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746944223179568/,"Cần tìm 1 bảo hiểm cho con 0 tuổi kèm những điều kiện nội trú chi trả 100%, ngoại trú chi trả cả những xét nghiệm âm tính.",28,28,0,0,66,san pham va giai phap,Trung lap,5,30,0,30,0,0/35 (0.0%),Normal,
50,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1746969396510384/,các bác cho e xin riview về trải nghiệm dùng bảo hiểm tại các ngân hàng với ạ. có điều gì cần lưu ý ko ạ. Và cho e xin vote ngân hàng có chính sách tốt ạ. Em cảm ơn,8,8,0,0,15,kenh phan phoi,Trung lap,0,10,0,5,0,0/10 (0.0%),Normal,
51,BỒI THƯỜNG BẢO HIỂM,https://www.facebook.com/groups/boithuongbh/posts/2107203606547441/,"Không phải cứ đóng BHXH lâu thì lương sẽ cao. CHỊ EM ĐÃ ĐÓNG BHXH TRÊN 15 NĂM NHẤT ĐỊNH PHẢI ĐỌC BÀI NÀY Hôm này em nhận quá trình đóng của 1 chị sinh năm 1983 với 16 năm 3 tháng đóng BHXH cả qua công ty và tự nguyện. Có 1 điều khá buồn là chị có 22 tháng tự nguyện đóng mức thấp nhất là 1,5 triệu nên lương bình quân bị giảm từ 9,8tr xuống 9tr. Nếu chị vẫn tiếp tục đóng cho đủ 30 năm với mức lương 1,5 triệu thì lương hưu sẽ giảm so với không đóng tiếp. Từ 4.3tr giảm xuống 4.1tr Nghe thì vô lý nhưng tính rồi mới biết. Vậy nên không phải cứ đóng lâu hưởng tỷ lệ tối đa là lương hưu sẽ tăng. Còn phải tính toán mức đóng cho phù hợp. Với người đã đóng trên 15 năm lại càng phải tính kĩ để tránh đóng mức thấp hơn mức BQ đã tham gia, làm giảm mức lương BQ và lương hưu không tăng hoặc tăng rất ít. ACE nào đang muốn đóng thêm BHXH tự nguyện để lương hưu cao hơn nhắn em quá trình để được tư vấn mức đóng và thời gian đóng phù hợp nhé. Bác nào không hiểu rõ thì đừng đi tư vấn người khác là cứ đóng mức thấp nhất cho đủ 30 năm để hưởng tỷ lệ tối đa. 75% của mức BQ 5.5tr còn thấp hơn 48% của mức 9tr #Thutrienhxh #Dichvutuvanbhxh #BHXH2026 #Thongtinbaohiem #BHXH",4,4,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
52,BỒI THƯỜNG BẢO HIỂM,https://www.facebook.com/groups/boithuongbh/posts/2107334776534324/,Mn tham khảo minh họa lương hưu 1 số mức đóng cho nam/nữ 40 tuổi nha. Ace cần độ tuổi nào nữa nhắn em hoặc cmt nha #bhxhtunguyen,0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
53,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/posts/2127616704491798/,"Mua online bảo hiểm sức khỏe, thai sản tốt nhất. https://online.moncover.vn/bh-suc-khoe",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
54,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/posts/2128487284404740/,"🚨 LẦN ĐẦU TIÊN CÓ LỊCH SỬ: THẺ SỨC KHỎE GENERALI GIẢM PHÍ KHỦNG! Không lằng nhằng điều kiện, chốt ngay tháng 9 này anh chị sẽ nhận đặc quyền chưa từng có: ✔️ KHÔNG QUY ĐỊNH số tiền tham gia hợp đồng tối thiểu năm đầu tiên. ✔️ Người lớn (trên 5 tuổi): TẶNG NGAY 20% phí thẻ. ✔️ Em bé (0 - 5 tuổi): TẶNG NGAY 30% phí thẻ + KHÔNG ĐỒNG CHI TRẢ! (Bố mẹ bớt hẳn nỗi lo ốm vặt). ⏳ Chương trình vừa bắt đầu hôm nay (01/09) và chỉ kéo dài đến hết 30/09. Anh chị inbox em ngay để thiết kế bảng minh họa và giữ suất ưu đãi nhé! #baohiemsuckhoe #baohiemnhantho #GeneraliVietnam #trumboithuong",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
55,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/posts/2128504407736361/,"Mình cần tìm tư vấn viên ở TPHCM làm 2 việc: 1 là lên gói BH nhân thọ kèm thẻ sức khỏe nội trú tối ưu cho vợ (29 tuổi, khỏe mạnh). 2 là tư vấn và xử lý hồ sơ cho mình (38 tuổi, đang điều trị huyết áp nhưng kiểm soát tốt, có sẵn giấy tờ bệnh viện minh bạch). Bạn nào chuyên môn tốt, tự tin làm được hồ sơ thì inbox trực tiếp trao đổi cụ thể giúp mình nhé.",14,14,0,0,24,spam,Spam,0,1,0,23,0,0/1 (0.0%),Normal,
56,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/posts/2128717857715016/,🇻🇳🇻🇳🇻🇳 GENERALI - MỪNG QUỐC KHÁNH 02/09 ☘️ 🎁 𝐍𝐡𝐚̣̂𝐧 𝐧𝐠𝐚𝐲 𝐪𝐮𝐚̀ 𝐭𝐚̣̆𝐧𝐠 𝐭𝐢𝐞̂̀𝐧 𝐦𝐚̣̆𝐭 𝐭𝐮̛𝐨̛𝐧𝐠 đ𝐮̛𝐨̛𝐧𝐠 𝟐𝟎% 𝐡𝐨𝐚̣̆𝐜 𝟑𝟎% 𝐩𝐡𝐢́ 𝐛𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 của thẻ sức khoẻ Generali NỘI - NGOẠI TRÚ HẠNG TIÊU CHUẨN . Cụ thể : 🔥 Tặng 30% phí thẻ sức khoẻ : Áp dụng cho Người được bảo hiểm từ 0 đến 5 tuổi. 🔥 Tặng 20% phí thẻ sức khoẻ : Áp dụng cho Người được bảo hiểm trên 5 tuổi ⏰ Thời gian áp dụng: Từ 01/09/2026 đến 30/09/2026 📩 𝐂𝐨̛ 𝐡𝐨̣̂𝐢 đ𝐞̂̉ 𝐜𝐡𝐨̂́𝐭 𝐭𝐡𝐚𝐦 𝐠𝐢𝐚 𝐭𝐡𝐞̉ 𝐬𝐮̛́𝐜 𝐤𝐡𝐨𝐞̉ 𝐆𝐞𝐧𝐞𝐫𝐚𝐥𝐢 𝐤𝐡𝐨̂𝐧𝐠 đ𝐨̂̀𝐧𝐠 𝐜𝐡𝐢 𝐦𝐨̣𝐢 𝐥𝐮̛́𝐚 𝐭𝐮𝐨̂̉𝐢. #KhanhHaBaohiem #DaiLeMung2Thang9 #QuatangGenerali #TheSucKhoeGenerali,0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
57,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/posts/2128930594360409/,"Ai chơi lễ chứ giờ em còn bận edit 🥲 Mọi người ủng hộ kênh em nha, flop quá 😤 TikTok: https://www.tiktok.com/@kietbaohiem Facebook: https://www.facebook.com/Kiet.MDRT/reel YouTube: https://youtube.com/@kietgenerali 📂 Tổng hợp một số case chi trả quyền lợi bảo hiểm gần đây: https://drive.google.com/drive/u/1/folders/1AKmh6iDXzPth7WcRSHacS_vrmBrFx9sppL3OMziwEWmlZGHUoW7jzbjAkJxjkGQC2CQ6YeQV",1,1,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
58,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/posts/2129399504313518/,"Trong nhóm mình có anh/chị nào đang làm tư vấn bảo hiểm không ạ? Mình đang muốn kết nối thêm với một số anh/chị tư vấn ở các khu vực khác nhau. Thỉnh thoảng bên mình có người hỏi về bảo hiểm nhưng không phải nhu cầu nào mình cũng có người phù hợp để hỗ trợ. Nên muốn làm quen thêm với mọi người, sau này nếu có trường hợp phù hợp thì có thể hỗ trợ và kết nối cho nhau 😊 Anh/chị đang làm khu vực nào và chuyên dòng bảo hiểm nào có thể comment giao lưu nhé.",9,9,0,0,12,spam,Spam,0,1,0,11,0,0/1 (0.0%),Normal,
59,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2244156756522278/,"CHỌN BẢO HIỂM DAIICHI - CHỌN YÊN TÂM CHO CẢ GIA ĐÌNH 4 NGƯỜI Với 30 triệu/năm, khách hàng đã có gói bảo hiểm đầu tư - sức khỏe trọn đời cho ba, mẹ và bé với những quyền lợi cao.cấp.nh.ất rồi nha. 🌟 QUYỀN LỢI NHÂN THỌ TRỌN ĐỜI - Nhận 1 tỷ 200 nếu t*v*ng + giá trị tài khoản hợp đồng - Nhận 1 tỷ 440 nếu t*v*ng do t@i.nạn + giá trị tài khoản hợp đồng - Nhận 1 tỷ 200 nếu mất khả năng lao động + giá trị tài khoản hợp đồng - Song hành bảo vệ 1 người thân từ 240 triệu - 600 triệu không tính phí 🌟 QUYỀN LỢI SỨC KHỎE 1 TỶ/BỆNH CHO MỖI NGƯỜI - Chi trả 1.0.0 % theo hóa đơn thực tế khách điều trị tại bệnh viện - Thanh toán mọi trường hợp nhập viện và thăm khám trong ngày - Tiền giường lên tới 3 triệu/ngày, nội trú khác 60tr/b.ệnh/năm, ph.ẫu.thuật 75tr/ca - Điều trị UT bằng nhiều phương pháp: hóa.trị/xạ.trị/trúng.đích - Phạm vi chi trả toàn cầu, gia đình có du lịch hay công tác nước ngoài đều yên tâm Liên hệ với Hà để xem thêm nhiều gói minh họa quyền lợi và tư vấn chi tiết nhé!",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
60,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2244275813177039/,"🏡 Bảo Vệ Trọn Vẹn Tổ Ấm Chỉ Với 1 Hợp Đồng – An Tâm Vững Bước Tương Lai! Gia đình nhỏ của bạn đã có ""lá chắn"" vững chắc trước những biến cố bất ngờ của cuộc sống chưa? Hiểu được mong muốn chăm sóc sức khỏe và tài chính trọn vẹn cho tổ ấm, Dai-ichi Life mang đến 3 giải pháp bảo vệ tối ưu dành riêng cho gia đình Ba + Mẹ + Bé: 🛡️ Gói 1 (17tr/năm): Lựa chọn tối ưu chi phí, bảo vệ thiết yếu và tích lũy hiệu quả cho tương lai. ⚖️ Gói 2 (23tr/năm): Nâng tầm chăm sóc y tế với hạn mức nội trú cao, chủ động trước mọi rủi ro bệnh lý. 💎 Gói 3 (28tr/năm): Bảo vệ đỉnh cao với hạn mức lớn, chăm sóc y tế chuyên sâu và toàn diện nhất. Với quyền lợi độc lập cho từng thành viên, thủ tục bồi thường minh bạch cùng thẻ sức khỏe ưu việt không tăng phí, đây chính là điểm tựa vững chắc để cả nhà yên tâm tận hưởng cuộc sống. 👉 Ba Mẹ hãy liên hệ với Thái Hà (SĐT: 0983051236) để nhận bảng minh họa chi tiết và chọn gói phù hợp nhất với tài chính gia đình nhé! ❤️",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
61,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2244279473176673/,"✨ Bạn có biết? Không phải thẻ sức khỏe nào cũng giống nhau! 🌿 Với Thẻ sức khỏe Dai-ichi Life, con bạn có thể: ✅ Đứng độc lập trên hợp đồng ✅ Được bảo vệ cả bệnh bẩm sinh ✅ Quyền lợi ổn định, dài lâu ✅ Không lo bị từ chối tái tục Trong khi đó, nhiều thẻ rời trên thị trường lại dễ: ⚠️ Tăng phí bất ngờ ⚠️ Giảm quyền lợi ⚠️ Hoặc ngừng bảo vệ đúng lúc cần nhất 👉 Chọn thẻ sức khỏe Dai-ichi Life chính là chọn sự an tâm trọn vẹn cho cả gia đình ❤️ 📩 Liên hệ ngay Thái Hà– Tư vấn tài chính Dai-ichi Life để được hỗ trợ chi tiết",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
62,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2244932646444689/,Đây là lý do nhiều công ty bảo hiểm lựa chọn túi vải in theo yêu cầu,0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
63,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2245037699767517/,"(XIN NHẬP VIỆN ) mn cho m hỏi m khám bệnh bv Bạch Mai mình bị tê bì, thỉnh thoảng mất cảm giác ở 2 bàn tay có xin nhập viện dc ko ak? Làm thế nào để nhập viện đc ạ nếu bệnh chưa nặng ạ? Ai có kjnh nghiệm chỉ cho m với ạ. Ai quen biết bs bv Bạch Mai có thể móc nối để xin cho m nhập viện được giúp m với m hậu tạ hậu hĩnh ạ.",1,0,0,1,0,,,0,0,0,0,0,0/0 (0%),Normal,
64,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2245038729767414/,"Bài 19: Mừng Quốc khánh Việt Nam và khởi động kinh doanh tháng 9 tại AIA Hải Dương. Chúc tất cả các khách hàng, tư vấn viên có 1 kỳ nghỉ lễ thật vui vẻ, hạnh phúc bên gia đình! 🥰 #dinhthichinh #baohiemnhanthoaia #vietnam #quockhanh #giadinh #cuocsong",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
65,REVIEW BẢO HIỂM NHÂN THỌ,https://www.facebook.com/groups/296975261240447/posts/2245066846431269/,"🇺🇸 MUỐN GIỮ QUYỀN LỰA CHỌN ĐIỀU TRỊ TẠI MỸ NẾU CẦN? Bạn chưa chắc sẽ cần điều trị ở nước ngoài — nhưng khi một vấn đề sức khỏe lớn xảy ra, bạn có thể muốn được chủ động lựa chọn nơi điều trị phù hợp hơn, thay vì chỉ giới hạn trong Việt Nam. Vấn đề: nhiều thẻ sức khỏe có hạn mức lớn, nhưng khi sử dụng ở nước ngoài lại cần xem kỹ phạm vi bảo hiểm và các giới hạn của từng quyền lợi. Một con số vài tỷ đồng trên thẻ chưa nói hết được bạn có thể sử dụng quyền lợi đó như thế nào khi cần điều trị ngoài Việt Nam. Giải pháp: VITA – Sức Khỏe Kim Cương của Generali dành cho khách hàng cần phạm vi chăm sóc y tế rộng, từ Việt Nam đến nước ngoài — bao gồm Mỹ. ✅ Nội trú lên đến 5 tỷ đồng/năm. ✅ Phạm vi điều trị trong và ngoài nước. ✅ Bao gồm Mỹ — phù hợp với người muốn giữ thêm lựa chọn điều trị khi cần. ✅ Không giới hạn phụ khi điều trị ở nước ngoài, trong phạm vi quyền lợi và điều khoản của chương trình. Đặc biệt phù hợp với những gia đình có tiêu chuẩn y tế cao, thường xuyên đi nước ngoài, có người thân sinh sống ở nước ngoài hoặc đơn giản là không muốn giới hạn lựa chọn điều trị của mình trong một quốc gia. Thẻ sức khỏe cao cấp không chỉ nằm ở câu hỏi: “Hạn mức bao nhiêu?” Mà còn là: “Khi thực sự cần, tôi được quyền lựa chọn điều trị ở đâu?” 📌 Nhắn tin để Kiệt gửi thông tin quyền lợi Kim Cương và cùng kiểm tra xem nhu cầu của gia đình có phù hợp với phạm vi bảo vệ này không. Tô Quốc Kiệt | Generali Việt Nam 📞 0832 806 968 #Generali #VitaSucKhoeKimCuong #BaoHiemSucKhoe #BaoHiemSucKhoeQuocTe #DieuTriNuocNgoai #DieuTriTaiMy",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
